u,v,a(m2=10000kg),a(m2=20000kg),a(m2=30000kg),a(m2=40000kg),a(m2=50000kg)
-60,0,-3.038463752,-1.519231876,-1.012821251,-0.759615938,-0.60769275
-60,0.2,-3.138463752,-1.569231876,-1.046154584,-0.784615938,-0.62769275
-60,0.4,-3.138284207,-1.569142104,-1.046094736,-0.784571052,-0.627656841
-60,0.6,-3.137566027,-1.568783013,-1.045855342,-0.784391507,-0.627513205
-60,0.8,-3.183328586,-1.591664293,-1.061109529,-0.795832146,-0.636665717
-60,1,-3.103654221,-1.55182711,-1.034551407,-0.775913555,-0.620730844
-60,1.2,-3.211665988,-1.605832994,-1.070555329,-0.802916497,-0.642333198
-60,1.4,-3.295420477,-1.647710238,-1.098473492,-0.823855119,-0.659084095
-60,1.6,-3.294826644,-1.647413322,-1.098275548,-0.823706661,-0.658965329
-60,1.8,-3.366541058,-1.683270529,-1.122180353,-0.841635264,-0.673308212
-60,2,-3.361188286,-1.680594143,-1.120396095,-0.840297072,-0.672237657
-60,2.2,-3.362771675,-1.681385838,-1.120923892,-0.840692919,-0.672554335
-60,2.4,-3.398960045,-1.699480023,-1.132986682,-0.849740011,-0.679792009
-60,2.6,-3.400780298,-1.700390149,-1.133593433,-0.850195074,-0.68015606
-60,2.8,-3.40260055,-1.701300275,-1.134200183,-0.850650137,-0.68052011
-60,3,-3.404420802,-1.702210401,-1.134806934,-0.8511052,-0.68088416
-60,3.2,-3.364952256,-1.682476128,-1.121650752,-0.841238064,-0.672990451
-60,3.4,-3.322596936,-1.661298468,-1.107532312,-0.830649234,-0.664519387
-60,3.6,-3.304872682,-1.652436341,-1.101624227,-0.82621817,-0.660974536
-60,3.8,-3.298075647,-1.649037824,-1.099358549,-0.824518912,-0.659615129
-60,4,-3.30043271,-1.650216355,-1.100144237,-0.825108177,-0.660086542
-60,4.2,-3.341761518,-1.670880759,-1.113920506,-0.835440379,-0.668352304
-60,4.4,-3.341434823,-1.670717411,-1.113811608,-0.835358706,-0.668286965
-60,4.6,-3.341108127,-1.670554064,-1.113702709,-0.835277032,-0.668221625
-60,4.8,-3.382089271,-1.691044636,-1.12736309,-0.845522318,-0.676417854
-60,5,-3.382335729,-1.691167864,-1.127445243,-0.845583932,-0.676467146
-60,5.2,-3.382582187,-1.691291093,-1.127527396,-0.845645547,-0.676516437
-60,5.4,-3.382828644,-1.691414322,-1.127609548,-0.845707161,-0.676565729
-60,5.6,-3.345446547,-1.672723274,-1.115148849,-0.836361637,-0.669089309
-60,5.8,-3.342307646,-1.671153823,-1.114102549,-0.835576911,-0.668461529
-60,6,-3.34930047,-1.674650235,-1.11643349,-0.837325118,-0.669860094
-60,6.2,-3.35182708,-1.67591354,-1.117275693,-0.83795677,-0.670365416
-60,6.4,-3.354353691,-1.677176845,-1.118117897,-0.838588423,-0.670870738
-60,6.6,-3.42462353,-1.712311765,-1.141541177,-0.856155882,-0.684924706
-60,6.8,-3.424956708,-1.712478354,-1.141652236,-0.856239177,-0.684991342
-60,7,-3.425289885,-1.712644943,-1.141763295,-0.856322471,-0.685057977
-60,7.2,-3.425623063,-1.712811532,-1.141874354,-0.856405766,-0.685124613
-60,7.4,-3.425956241,-1.712978121,-1.141985414,-0.85648906,-0.685191248
-60,7.6,-3.426289419,-1.71314471,-1.142096473,-0.856572355,-0.685257884
-60,7.8,-3.51399669,-1.756998345,-1.17133223,-0.878499173,-0.702799338
-60,8,-3.537284635,-1.768642318,-1.179094878,-0.884321159,-0.707456927
-60,8.2,-3.558962097,-1.779481049,-1.186320699,-0.889740524,-0.711792419
-60,8.4,-3.542478819,-1.771239409,-1.180826273,-0.885619705,-0.708495764
-60,8.6,-3.542088855,-1.771044427,-1.180696285,-0.885522214,-0.708417771
-60,8.8,-3.54169889,-1.770849445,-1.180566297,-0.885424723,-0.708339778
-60,9,-3.541308926,-1.770654463,-1.180436309,-0.885327231,-0.708261785
-60,9.2,-3.540918961,-1.770459481,-1.18030632,-0.88522974,-0.708183792
-60,9.4,-3.540528997,-1.770264498,-1.180176332,-0.885132249,-0.708105799
-60,9.6,-3.540139032,-1.770069516,-1.180046344,-0.885034758,-0.708027806
-60,9.8,-3.749453564,-1.874726782,-1.249817855,-0.937363391,-0.749890713
-60,10,-3.908227159,-1.95411358,-1.302742386,-0.97705679,-0.781645432
-60,10.2,-4.028835939,-2.01441797,-1.342945313,-1.007208985,-0.805767188
-60,10.4,-4.113819705,-2.056909853,-1.371273235,-1.028454926,-0.822763941
-60,10.6,-4.170336109,-2.085168054,-1.390112036,-1.042584027,-0.834067222
-60,10.8,-4.21809231,-2.109046155,-1.40603077,-1.054523077,-0.843618462
-60,11,-4.262885747,-2.131442874,-1.420961916,-1.065721437,-0.852577149
-60,11.2,-4.303090098,-2.151545049,-1.434363366,-1.075772525,-0.86061802
-60,11.4,-4.311766594,-2.155883297,-1.437255531,-1.077941649,-0.862353319
-60,11.6,-4.248482941,-2.12424147,-1.41616098,-1.062120735,-0.849696588
-60,11.8,-4.243337466,-2.121668733,-1.414445822,-1.060834366,-0.848667493
-60,12,-4.23819199,-2.119095995,-1.412730663,-1.059547998,-0.847638398
-60,12.2,-4.344468249,-2.172234124,-1.448156083,-1.086117062,-0.86889365
-60,12.4,-4.413339612,-2.206669806,-1.471113204,-1.103334903,-0.882667922
-60,12.6,-4.452198788,-2.226099394,-1.484066263,-1.113049697,-0.890439758
-60,12.8,-4.479582717,-2.239791358,-1.493194239,-1.119895679,-0.895916543
-60,13,-4.403233266,-2.201616633,-1.467744422,-1.100808317,-0.880646653
-60,13.2,-4.396496351,-2.198248176,-1.465498784,-1.099124088,-0.87929927
-60,13.4,-4.389759437,-2.194879718,-1.463253146,-1.097439859,-0.877951887
-60,13.6,-4.393127894,-2.196563947,-1.464375965,-1.098281974,-0.878625579
-60,13.8,-4.391443666,-2.195721833,-1.463814555,-1.097860916,-0.878288733
-60,14,-4.39228578,-2.19614289,-1.46409526,-1.098071445,-0.878457156
-60,14.2,-4.391864723,-2.195932361,-1.463954908,-1.097966181,-0.878372945
-60,14.4,-4.392075251,-2.196037626,-1.464025084,-1.098018813,-0.87841505
-60,14.6,-4.391969987,-2.195984993,-1.463989996,-1.097992497,-0.878393997
-60,14.8,-4.392022619,-2.19601131,-1.46400754,-1.098005655,-0.878404524
-60,15,-4.391996303,-2.195998152,-1.463998768,-1.097999076,-0.878399261
-60,15.2,-4.392009461,-2.196004731,-1.464003154,-1.098002365,-0.878401892
-60,15.4,-4.392002882,-2.196001441,-1.464000961,-1.098000721,-0.878400576
-60,15.6,-4.392006172,-2.196003086,-1.464002057,-1.098001543,-0.878401234
-60,15.8,-4.392004527,-2.196002263,-1.464001509,-1.098001132,-0.878400905
-60,16,-4.392005349,-2.196002675,-1.464001783,-1.098001337,-0.87840107
-60,16.2,-4.392004938,-2.196002469,-1.464001646,-1.098001234,-0.878400988
-60,16.4,-4.392005144,-2.196002572,-1.464001715,-1.098001286,-0.878401029
-60,16.6,-4.392005041,-2.19600252,-1.46400168,-1.09800126,-0.878401008
-60,16.8,-4.392005092,-2.196002546,-1.464001697,-1.098001273,-0.878401018
-60,17,-4.392005066,-2.196002533,-1.464001689,-1.098001267,-0.878401013
-60,17.2,-4.392005079,-2.19600254,-1.464001693,-1.09800127,-0.878401016
-60,17.4,-4.392005073,-2.196002536,-1.464001691,-1.098001268,-0.878401015
-60,17.6,-4.392005076,-2.196002538,-1.464001692,-1.098001269,-0.878401015
-60,17.8,-4.392005075,-2.196002537,-1.464001692,-1.098001269,-0.878401015
-60,18,-4.392005075,-2.196002538,-1.464001692,-1.098001269,-0.878401015
-60,18.2,-4.392005075,-2.196002537,-1.464001692,-1.098001269,-0.878401015
-60,18.4,-4.392005075,-2.196002538,-1.464001692,-1.098001269,-0.878401015
-60,18.6,-4.467199183,-2.233599592,-1.489066394,-1.116799796,-0.893439837
-60,18.8,-4.460830457,-2.230415228,-1.486943486,-1.115207614,-0.892166091
-60,19,-4.46401482,-2.23200741,-1.48800494,-1.116003705,-0.892802964
-60,19.2,-4.462422638,-2.231211319,-1.487474213,-1.11560566,-0.892484528
-60,19.4,-4.463218729,-2.231609365,-1.487739576,-1.115804682,-0.892643746
-60,19.6,-4.462820684,-2.231410342,-1.487606895,-1.115705171,-0.892564137
-60,19.8,-4.463019706,-2.231509853,-1.487673235,-1.115754927,-0.892603941
-60,20,-4.462920195,-2.231460098,-1.487640065,-1.115730049,-0.892584039
-60,20.2,-4.462969951,-2.231484975,-1.48765665,-1.115742488,-0.89259399
-60,20.4,-4.462945073,-2.231472536,-1.487648358,-1.115736268,-0.892589015
-60,20.6,-4.462957512,-2.231478756,-1.487652504,-1.115739378,-0.892591502
-60,20.8,-4.462951292,-2.231475646,-1.487650431,-1.115737823,-0.892590258
-60,21,-4.462954402,-2.231477201,-1.487651467,-1.115738601,-0.89259088
-60,21.2,-4.462952847,-2.231476424,-1.487650949,-1.115738212,-0.892590569
-60,21.4,-4.462953625,-2.231476812,-1.487651208,-1.115738406,-0.892590725
-60,21.6,-4.462953236,-2.231476618,-1.487651079,-1.115738309,-0.892590647
-60,21.8,-4.412682328,-2.206341164,-1.470894109,-1.103170582,-0.882536466
-60,22,-4.408555223,-2.204277612,-1.469518408,-1.102138806,-0.881711045
-60,22.2,-4.404428119,-2.202214059,-1.468142706,-1.10110703,-0.880885624
-60,22.4,-4.400301014,-2.200150507,-1.466767005,-1.100075253,-0.880060203
-60,22.6,-4.350584282,-2.175292141,-1.450194761,-1.08764607,-0.870116856
-60,22.8,-4.350615759,-2.175307879,-1.450205253,-1.08765394,-0.870123152
-60,23,-4.350647236,-2.175323618,-1.450215745,-1.087661809,-0.870129447
-60,23.2,-4.350678713,-2.175339357,-1.450226238,-1.087669678,-0.870135743
-60,23.4,-4.350662974,-2.175331487,-1.450220991,-1.087665744,-0.870132595
-60,23.6,-4.350670844,-2.175335422,-1.450223615,-1.087667711,-0.870134169
-60,23.8,-4.350666909,-2.175333455,-1.450222303,-1.087666727,-0.870133382
-60,24,-4.350668876,-2.175334438,-1.450222959,-1.087667219,-0.870133775
-60,24.2,-4.350667893,-2.175333946,-1.450222631,-1.087666973,-0.870133579
-60,24.4,-4.350668385,-2.175334192,-1.450222795,-1.087667096,-0.870133677
-60,24.6,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,24.8,-4.350668262,-2.175334131,-1.450222754,-1.087667065,-0.870133652
-60,25,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,25.2,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,25.4,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,25.6,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,25.8,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,26,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,26.2,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,26.4,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,26.6,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,26.8,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,27,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,27.2,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,27.4,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,27.6,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,27.8,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,28,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,28.2,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,28.4,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,28.6,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,28.8,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,29,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,29.2,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,29.4,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,29.6,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,29.8,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-60,30,-4.350668139,-2.175334069,-1.450222713,-1.087667035,-0.870133628
-50,0,-2.658867342,-1.329433671,-0.886289114,-0.664716835,-0.531773468
-50,0.2,-2.658867342,-1.329433671,-0.886289114,-0.664716835,-0.531773468
-50,0.4,-2.6589557,-1.32947785,-0.886318567,-0.664738925,-0.53179114
-50,0.6,-2.658397347,-1.329198674,-0.886132449,-0.664599337,-0.531679469
-50,0.8,-2.668473319,-1.334236659,-0.889491106,-0.66711833,-0.533694664
-50,1,-2.732481834,-1.366240917,-0.910827278,-0.683120458,-0.546496367
-50,1.2,-2.773518607,-1.386759304,-0.924506202,-0.693379652,-0.554703721
-50,1.4,-2.891508561,-1.445754281,-0.963836187,-0.72287714,-0.578301712
-50,1.6,-2.847513102,-1.423756551,-0.949171034,-0.711878276,-0.56950262
-50,1.8,-2.963380583,-1.481690292,-0.987793528,-0.740845146,-0.592676117
-50,2,-2.95883111,-1.479415555,-0.986277037,-0.739707778,-0.591766222
-50,2.2,-2.958008323,-1.479004162,-0.986002774,-0.739502081,-0.591601665
-50,2.4,-2.937868092,-1.468934046,-0.979289364,-0.734467023,-0.587573618
-50,2.6,-2.936950746,-1.468475373,-0.978983582,-0.734237686,-0.587390149
-50,2.8,-2.936033399,-1.468016699,-0.9786778,-0.73400835,-0.58720668
-50,3,-2.935116052,-1.467558026,-0.978372017,-0.733779013,-0.58702321
-50,3.2,-2.934198705,-1.467099353,-0.978066235,-0.733549676,-0.586839741
-50,3.4,-2.947203456,-1.473601728,-0.982401152,-0.736800864,-0.589440691
-50,3.6,-2.819788298,-1.409894149,-0.939929433,-0.704947074,-0.56395766
-50,3.8,-2.765858549,-1.382929274,-0.92195285,-0.691464637,-0.55317171
-50,4,-2.754629904,-1.377314952,-0.918209968,-0.688657476,-0.550925981
-50,4.2,-2.846552873,-1.423276436,-0.948850958,-0.711638218,-0.569310575
-50,4.4,-2.920582559,-1.460291279,-0.97352752,-0.73014564,-0.584116512
-50,4.6,-2.968848424,-1.484424212,-0.989616141,-0.742212106,-0.593769685
-50,4.8,-2.996959751,-1.498479876,-0.998986584,-0.749239938,-0.59939195
-50,5,-3.017375291,-1.508687645,-1.005791764,-0.754343823,-0.603475058
-50,5.2,-3.012039925,-1.506019962,-1.004013308,-0.753009981,-0.602407985
-50,5.4,-3.007674755,-1.503837378,-1.002558252,-0.751918689,-0.601534951
-50,5.6,-3.003309585,-1.501654793,-1.001103195,-0.750827396,-0.600661917
-50,5.8,-2.974065075,-1.487032538,-0.991355025,-0.743516269,-0.594813015
-50,6,-3.000643513,-1.500321756,-1.000214504,-0.750160878,-0.600128703
-50,6.2,-3.008940716,-1.504470358,-1.002980239,-0.752235179,-0.601788143
-50,6.4,-3.079675237,-1.539837619,-1.026558412,-0.769918809,-0.615935047
-50,6.6,-3.125614024,-1.562807012,-1.041871341,-0.781403506,-0.625122805
-50,6.8,-3.151657708,-1.575828854,-1.050552569,-0.787914427,-0.630331542
-50,7,-3.170094441,-1.585047221,-1.056698147,-0.79252361,-0.634018888
-50,7.2,-3.079119853,-1.539559927,-1.026373284,-0.769779963,-0.615823971
-50,7.4,-3.011463795,-1.505731897,-1.003821265,-0.752865949,-0.602292759
-50,7.6,-2.967149272,-1.483574636,-0.989049757,-0.741787318,-0.593429854
-50,7.8,-2.941407977,-1.470703989,-0.980469326,-0.735351994,-0.588281595
-50,8,-2.922945039,-1.46147252,-0.974315013,-0.73073626,-0.584589008
-50,8.2,-2.936290006,-1.468145003,-0.978763335,-0.734072502,-0.587258001
-50,8.4,-2.937175047,-1.468587524,-0.979058349,-0.734293762,-0.587435009
-50,8.6,-2.938060088,-1.469030044,-0.979353363,-0.734515022,-0.587612018
-50,8.8,-2.938945129,-1.469472564,-0.979648376,-0.734736282,-0.587789026
-50,9,-2.93983017,-1.469915085,-0.97994339,-0.734957542,-0.587966034
-50,9.2,-2.982605847,-1.491302924,-0.994201949,-0.745651462,-0.596521169
-50,9.4,-2.979810409,-1.489905204,-0.993270136,-0.744952602,-0.595962082
-50,9.6,-2.927785036,-1.463892518,-0.975928345,-0.731946259,-0.585557007
-50,9.8,-2.911013316,-1.455506658,-0.970337772,-0.727753329,-0.582202663
-50,10,-2.905486659,-1.452743329,-0.968495553,-0.726371665,-0.581097332
-50,10.2,-2.907122751,-1.453561376,-0.969040917,-0.726780688,-0.58142455
-50,10.4,-2.908758844,-1.454379422,-0.969586281,-0.727189711,-0.581751769
-50,10.6,-2.910394937,-1.455197469,-0.970131646,-0.727598734,-0.582078987
-50,10.8,-2.91203103,-1.456015515,-0.97067701,-0.728007758,-0.582406206
-50,11,-2.913667123,-1.456833562,-0.971222374,-0.728416781,-0.582733425
-50,11.2,-2.854060632,-1.427030316,-0.951353544,-0.713515158,-0.570812126
-50,11.4,-2.836751713,-1.418375856,-0.945583904,-0.709187928,-0.567350343
-50,11.6,-2.824569373,-1.412284686,-0.941523124,-0.706142343,-0.564913875
-50,11.8,-2.825001723,-1.412500862,-0.941667241,-0.706250431,-0.565000345
-50,12,-2.825434073,-1.412717037,-0.941811358,-0.706358518,-0.565086815
-50,12.2,-2.825866424,-1.412933212,-0.941955475,-0.706466606,-0.565173285
-50,12.4,-2.826298774,-1.413149387,-0.942099591,-0.706574694,-0.565259755
-50,12.6,-2.874498575,-1.437249287,-0.958166192,-0.718624644,-0.574899715
-50,12.8,-2.871345413,-1.435672706,-0.957115138,-0.717836353,-0.574269083
-50,13,-2.872921994,-1.436460997,-0.957640665,-0.718230498,-0.574584399
-50,13.2,-2.872133703,-1.436066852,-0.957377901,-0.718033426,-0.574426741
-50,13.4,-2.872527848,-1.436263924,-0.957509283,-0.718131962,-0.57450557
-50,13.6,-2.872330776,-1.436165388,-0.957443592,-0.718082694,-0.574466155
-50,13.8,-2.872429312,-1.436214656,-0.957476437,-0.718107328,-0.574485862
-50,14,-2.872380044,-1.436190022,-0.957460015,-0.718095011,-0.574476009
-50,14.2,-2.90858708,-1.45429354,-0.969529027,-0.72714677,-0.581717416
-50,14.4,-2.926562944,-1.463281472,-0.975520981,-0.731640736,-0.585312589
-50,14.6,-2.926479758,-1.463239879,-0.975493253,-0.731619939,-0.585295952
-50,14.8,-2.885260454,-1.442630227,-0.961753485,-0.721315114,-0.577052091
-50,15,-2.882726566,-1.441363283,-0.960908855,-0.720681642,-0.576545313
-50,15.2,-2.847583494,-1.423791747,-0.949194498,-0.711895873,-0.569516699
-50,15.4,-2.847201797,-1.423600898,-0.949067266,-0.711800449,-0.569440359
-50,15.6,-2.846820099,-1.42341005,-0.948940033,-0.711705025,-0.56936402
-50,15.8,-2.846438402,-1.423219201,-0.948812801,-0.711609601,-0.56928768
-50,16,-2.846056705,-1.423028352,-0.948685568,-0.711514176,-0.569211341
-50,16.2,-2.846247553,-1.423123777,-0.948749184,-0.711561888,-0.569249511
-50,16.4,-2.846152129,-1.423076065,-0.948717376,-0.711538032,-0.569230426
-50,16.6,-2.846199841,-1.423099921,-0.94873328,-0.71154996,-0.569239968
-50,16.8,-2.846175985,-1.423087993,-0.948725328,-0.711543996,-0.569235197
-50,17,-2.846187913,-1.423093957,-0.948729304,-0.711546978,-0.569237583
-50,17.2,-2.846181949,-1.423090975,-0.948727316,-0.711545487,-0.56923639
-50,17.4,-2.846184931,-1.423092466,-0.94872831,-0.711546233,-0.569236986
-50,17.6,-2.84618344,-1.42309172,-0.948727813,-0.71154586,-0.569236688
-50,17.8,-2.846184186,-1.423092093,-0.948728062,-0.711546046,-0.569236837
-50,18,-2.779006229,-1.389503114,-0.92633541,-0.694751557,-0.555801246
-50,18.2,-2.78053479,-1.390267395,-0.92684493,-0.695133698,-0.556106958
-50,18.4,-2.77977051,-1.389885255,-0.92659017,-0.694942627,-0.555954102
-50,18.6,-2.78015265,-1.390076325,-0.92671755,-0.695038162,-0.55603053
-50,18.8,-2.77996158,-1.38998079,-0.92665386,-0.694990395,-0.555992316
-50,19,-2.780057115,-1.390028557,-0.926685705,-0.695014279,-0.556011423
-50,19.2,-2.780009347,-1.390004674,-0.926669782,-0.695002337,-0.556001869
-50,19.4,-2.780033231,-1.390016616,-0.926677744,-0.695008308,-0.556006646
-50,19.6,-2.780021289,-1.390010645,-0.926673763,-0.695005322,-0.556004258
-50,19.8,-2.78002726,-1.39001363,-0.926675753,-0.695006815,-0.556005452
-50,20,-2.780024275,-1.390012137,-0.926674758,-0.695006069,-0.556004855
-50,20.2,-2.780025767,-1.390012884,-0.926675256,-0.695006442,-0.556005153
-50,20.4,-2.780025021,-1.390012511,-0.926675007,-0.695006255,-0.556005004
-50,20.6,-2.780025394,-1.390012697,-0.926675131,-0.695006349,-0.556005079
-50,20.8,-2.780025208,-1.390012604,-0.926675069,-0.695006302,-0.556005042
-50,21,-2.780025301,-1.39001265,-0.9266751,-0.695006325,-0.55600506
-50,21.2,-2.780025254,-1.390012627,-0.926675085,-0.695006314,-0.556005051
-50,21.4,-2.780025278,-1.390012639,-0.926675093,-0.695006319,-0.556005056
-50,21.6,-2.780025266,-1.390012633,-0.926675089,-0.695006316,-0.556005053
-50,21.8,-2.780025272,-1.390012636,-0.926675091,-0.695006318,-0.556005054
-50,22,-2.780025269,-1.390012634,-0.92667509,-0.695006317,-0.556005054
-50,22.2,-2.78002527,-1.390012635,-0.92667509,-0.695006318,-0.556005054
-50,22.4,-2.78002527,-1.390012635,-0.92667509,-0.695006317,-0.556005054
-50,22.6,-2.78002527,-1.390012635,-0.92667509,-0.695006317,-0.556005054
-50,22.8,-2.78002527,-1.390012635,-0.92667509,-0.695006317,-0.556005054
-50,23,-2.78002527,-1.390012635,-0.92667509,-0.695006317,-0.556005054
-50,23.2,-2.78002527,-1.390012635,-0.92667509,-0.695006317,-0.556005054
-50,23.4,-2.78002527,-1.390012635,-0.92667509,-0.695006317,-0.556005054
-50,23.6,-2.78002527,-1.390012635,-0.92667509,-0.695006317,-0.556005054
-50,23.8,-2.78002527,-1.390012635,-0.92667509,-0.695006317,-0.556005054
-50,24,-2.78002527,-1.390012635,-0.92667509,-0.695006317,-0.556005054
-50,24.2,-2.78002527,-1.390012635,-0.92667509,-0.695006317,-0.556005054
